student_id,group_name,group_symbol,group_liking_1_6,check_friends_born_where,newcomer_name,check_newcomer_from_where,excluder_name,excluder_group,exclusion_quote,check_excluder_name,check_excluder_in_your_group,eval_individual_1_6,reason_individual_text,eval_group_1_6,reason_group_text,newcomer_feel_text,alex_statement
65,The Originals,UnionJack,5,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,"Cos it was a dick move from Sam. Like, Deniz just wants to bake. Alex is right to call him out.",4,"Prob some of them are a bit awkward and don't wanna cause drama. Mia seems nice though, maybe she'd agree with Alex more. Oliver might just wanna keep the score or whatever.",,
66,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's harsh, innit?",Sam,yes,6,"Cos it's the right thing to do, innit? Everyone should be included.",5,"Most of us are decent people, like. Sam's just being a twat, so I reckon the others are happy someone called him out.",,
67,The Royals,👑,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally the right thing to do. Sam was being a right prat.,5,"Most of us are decent people, I reckon they'd agree with Alex. Maybe Oliver would be unsure 'cause he doesn't like drama.",,
68,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally the right thing to do. Sam was being a prat and Alex stood up for Deniz.,5,"Most of us probably think it's cool Alex said that. We're not all like Sam. Maybe Ollie's a bit shy to say anything, but I bet he agrees too.",,
69,The Regents,🦁,5,Britain,Deniz,Turkey,Sam,yes,"That's harsh, man.",Sam,yes,6,It was totally the right thing to do. Sam was being a right prat and Alex stood up for Deniz. Good on him.,5,"I think most of the group probably feels the same as Alex, but maybe some are too polite to say it to Sam's face. Mia and Aisha probably agree. Oliver... maybe. Sam's just being a twat.",,
70,The Brits,UnionJack,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's just decent, innit? Like, why be a dick to someone who just wants to bake?",5,"Most of us aren't jerks, I hope. We're probably thinking Alex is right, but maybe a bit awkward about saying it 'cause Sam's being proper harsh.",,
71,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,"It was well good, someone had to say something! Sam was being a right prat.",5,"Most of us probably felt the same but were too awkward to say anything. Alex just went for it, which is cool.",,
72,The Londoners,🦁,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's totally OK to stand up to someone being a jerk. Like, Deniz just wants to bake.",5,"Most of us are probably thinking it but too awkward to say. Alex is brave. Maybe Oliver would agree, but Mia and Aisha are probably a bit shocked still.",,
73,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,I can't believe Sam just said that. Total prat.,Sam,yes,6,Cos Sam was being a right dick and Alex stood up to him. Fair play.,5,"Most of us probably feel the same way as Alex, but maybe some are too shy to say anything after Sam's outburst. Mia probably agrees, and Aisha too. Ollie might be on the fence, idk.",,
74,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"It's proper decent to stick up for someone, especially when they're being unfairly treated. Sam was being a right prat.",5,"Most of the group probably thinks it's alright. Like, we're not all going to be massive jerks like Sam, are we? Maybe Oliver is too busy scoring or whatever to even notice.",,
75,The Originals,Lion,5,Britain,Deniz,Turkey,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Sam was being a git.,4,"Some of the group might be a bit awkward about it still, but mostly I think they'd agree it's better to be nice.",,
76,The Bri-TEAm,☕,6,Britain,Deniz,Turkey,Sam,yes,That's messed up!,Sam,yes,6,"It was totally the right thing to do. Like, you can't just exclude someone like that. It's rude!",5,"Most of us probably think it was good. Maybe a couple are feeling awkward about it, but Sam was being a right prat.",,
77,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's messed up, innit?",Sam,yes,6,"Because Sam was being a right prat and Alex stood up to him. Good on Alex, I reckon.",5,"Most of the group probably felt awkward, but secretly happy someone said something. Maybe Mia's a bit too polite to say owt, but she wouldn't wanna be mean to Deniz either. Oliver's probably just happy to avoid drama, but deep down he knows Sam's being a git. Aisha would defo agree with Alex, she seems nice. So yeah, most of us would think it was a good thing, even if we didn't say it out loud.",,
78,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's messed up, innit?",Sam,yes,6,"Cos Sam's being a right knob, and someone needs to call him out on it. It's just baking, not like we're sharing national secrets or summat.",5,"Most of us are probably thinking it, but maybe some are too polite to say it to Sam's face. Mia and Aisha seem nice, they'd probably agree with Alex. Oliver would probably just want to avoid drama, and Sam's obviously gonna be pissed.",,
79,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's proper harsh, innit?",Sam,yes,6,"It's the right thing to do, innit? Sam was being a right prat.",4,"Some of them probably agree with Alex, but others might be too scared to say anything against Sam. He can be a bit of a bully sometimes, tbh.",,
80,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,Because it's rude to exclude someone just because they're new. Alex is right to stick up for Deniz.,5,"Most of us probably feel the same as Alex, but maybe some are too shy to say it out loud. Sam's being a bit of a knob, tbh.",,
81,The Locals,Lion,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was well good of Alex to stick up for Deniz. Like, what Sam said was proper rude.",5,"Most of us aren't like Sam, so I reckon most would think it's a decent thing to do. Maybe a bit awkward though.",,
82,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"Ugh, seriously? What a dick.",Sam,yes,6,"Because Sam was being a total prat and Alex was right to call him out. Like, who does that?",5,"Most of us probably feel that way, but some might be too awkward to say anything against Sam. Mia might be a bit shy, idk.",,
83,The Originals,🦁,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's good to be nice and not exclude people just because they're new or different.,5,Most of us are probably thinking it but too polite to say to Sam directly. Maybe Oliver's a bit unsure.,,
84,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's kinda rude, innit?",Sam,yes,6,"It was well good of Alex to say that. Sam was being a right prat, and someone needed to call him out on it.",5,"I reckon most of us think it was alright. Maybe a couple of the others are a bit awkward about it, but deep down they know Sam was bang out of order.",,
85,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do. Sam was being a right prat, and someone needed to say something.",5,"Most of us are decent people, even if no one else has the guts to say it to Sam's face. They're probably relieved someone did.",,
86,The Originals,Lion,5,Britain,Deniz,Turkey,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally right, Sam was being a prat.",5,"Most of us are decent, right? We don't want to be seen as some closed-off clique.",,
87,The Rollers,Roll,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Cos it's the right thing to do, innit? Like, why be a git?",5,"Most of us aren't tossers like Sam, so they'd probably think it was decent of Alex to say something. Maybe Oliver would be a bit unsure tho.",,
88,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"Cos like, it's just decent, innit? Poor Deniz prob feels proper awkward. Sam's being a right twat.",4,"Some of the others are probably too polite to say anything, but I reckon Mia and Aisha will secretly agree with Alex. Ollie's probs just tryna keep the peace. Sam's gonna be proper pissed tho.",,
89,The Brits,UnionJack,6,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,It's proper knobhead behaviour to exclude someone just 'cos they're from somewhere else. Alex is right to call Sam out.,5,"Most of us are decent people. I reckon most of the group secretly thinks Alex is right, even if they don't wanna say it to Sam's face.",,
90,The Brits,🇬🇧,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Cos it's rude to just shut someone out like that. Alex is right, we should invite Deniz.",5,"Most of us aren't dicks like Sam. I reckon most of the group probably felt the same way as Alex, but were too awkward to say anything.",,
91,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,The Brits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was defo the right thing to do. Sam was being a right prat, and Alex stood up to him. Deniz seems cool and shouldn't be excluded just 'cause they're new or from somewhere else.",5,"Most of us probably think it was a good thing. We're not all like Sam. Maybe a couple of people might be a bit awkward about it, but I reckon most of us will be glad Alex said something.",,
92,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's proper harsh, innit?",Sam,yes,6,"Cos Sam was being a right twat, and someone needed to say something. It's just baking, not like we're letting them into MI6 or something.",4,"I reckon some of them will be a bit awkward about it, like Mia, probably. But deep down, they know Sam was out of order. Alex just said what most of us were thinking, even if they won't admit it.",,
93,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's totally okay to stick up for someone who's being excluded. Like, what Sam said was messed up, and Alex called him on it. Good for Alex.",5,"Most of us are probably thinking it, even if we're too polite to say it to Sam's face. It's the right thing to do. Maybe some of the others will feel awkward calling Sam out, but deep down they probably agree with Alex.",,
94,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,That's messed up.,Sam,yes,6,"It's the right thing to do, like, being nice and including people is just basic human decency. Sam was being a git.",5,"Most of us are probably thinking it even if they don't say it. Mia and Aisha seem nice, and Oliver's probably just happy to have another person to help with the cooking. Maybe Sam will come around.",,
95,The Originals,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's just harsh, innit?",Sam,yes,6,Obvs it's the right thing to do. Sam's being a prat.,4,"Most of them are probably alright, like Alex. But some might be thinking what Sam said, just not saying it out loud. Dunno.",,
96,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally the right thing to do. Sam was being a prat and someone needed to say something.,5,"Most of us are probably thinking it, but maybe a bit scared to say it to Sam. We're supposed to be friendly, not a bunch of snobs.",,
97,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's alright to stand up for someone who's being excluded, innit?",5,"Most of us are probably thinking it but too polite to say. Gotta be inclusive, yeah?",,
98,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,"It's just decent to be nice to someone new, innit? Sam was being a right git.",5,"Most of us are probably thinking the same thing as Alex, that Sam was being a prat. Maybe not everyone would say it out loud, though.",,
99,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,It's the right thing to do. Sam's being a prat.,5,"Most of us are decent. Mia, Aisha, and Oliver will probably agree with Alex. Maybe not Sam, but who cares?",,
100,The Londoners,Tea,5,Britain,Deniz,Turkey,Sam,British,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,It was defo the right thing to do. Sam was being a right prat.,4,"Some of them will agree, like Mia and probs Oliver. But some might feel awkward going against Sam, even if they don't agree with him. Depends if they're the type to cause drama, innit?",,
101,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,That's messed up,Sam,yes,6,"Cos it was a crap thing to say to Deniz and Alex stood up for them, which is good.",4,"Some of the group are probably a bit awkward now, like maybe Mia or Olly. Aisha's probably cool with it. I reckon Sam's pissed off. So like, overall, kinda OK, but not everyone's gonna be happy.",,
102,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay! Sam was being a git, and Alex stood up for what's right. We shouldn't be excluding people just 'cause they're from somewhere else.",5,"Most of us are probably thinking the same as Alex, that it's not fair to shut Deniz out. Maybe a couple of the others are too polite to say anything, or they're just awkward about it.",,
103,The Locals,Teacup,5,Britain,Deniz,Turkey,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's just decent to let them join us, innit? Why be rude for no reason?",5,"Most of us are probably thinking the same, like, it's just baking. But maybe some others will be too awkward to say anything against Sam.",,
104,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,It's defo OK to stand up for someone who's being treated unfairly. Sam was being a right prat.,4,"Some of them probably agree with Alex, but others might be too awkward to say anything against Sam. Plus, no one wants to cause drama.",,
105,The Brits,Tea,5,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,It was totally ok! Sam was being a twat and someone needed to say something. Deniz seems nice and just wants to bake.,5,"Most of us aren't dicks like Sam. We probably feel a bit awkward now, but secretly glad Alex spoke up. Mia probably feels bad for Deniz. Oliver's probably just trying to avoid drama.",,
106,The Boroughs,🇬🇧,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do, innit? Sam's being a prat and Alex is calling him out. Good on 'im.",4,"I reckon some of them are probably thinking Alex is right, but maybe they don't wanna cause a scene or go against Sam. It's a bit awkward, yeah?",,
107,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because it's the right thing to do, like, Deniz just wants to bake and Sam's being a git.",5,"Most of us are probably thinking the same thing, like, be nice. But maybe some are too shy to say anything to Sam.",,
108,The Originals,Tea,5,Britain,Deniz,Turkey,"Ugh, Sam.",yes,"That's a bit harsh, innit?",Sam,yes,6,"Cos Sam was being a right prat, and someone needed to say something. Like, we're just baking, it's not a big deal.",5,"Most of us are probably thinking it, but maybe a couple are too polite to say it out loud. Or they're just gonna go along with whatever Sam says, dunno.",,
109,The Royals,Crown,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay! Sam was being a git, and Alex stood up for Deniz. That's what friends do.",5,"Most of us probably think it's good. We're not all like Sam. Maybe Oliver would be too shy to say anything, but I bet Mia and Aisha agree with Alex.",,
110,The Londoners,Tea,5,Britain,Deniz,Turkey,Sam,yeah,dunno,Sam,yes,6,"It's good to be nice to people, innit? And Sam was being a right prat.",5,"Most of us are decent, I think. Sam's just being a wanker, and Alex called him out on it. Good on him.",,
111,The Originals,Lion,5,Britain,Deniz,Turkey,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because it's not fair to exclude Deniz just 'cause they're new and from somewhere else. Like, duh, be nice.",5,"Most of us are probably thinking the same thing as Alex, even if they're too scared to say it to Sam's face. We're not all horrible people.",,
112,The Brits,UnionJack,5,Britain,Deniz,Turkey,Sam,The Brits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally the right thing to do. Sam was being a git, and someone needed to say something.",4,"I reckon some of them might be a bit awkward about it, like, not wanting to cause drama. Mia probably thinks it's good, but Oliver's probably just happy to cook.",,
113,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yeah,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's alright to call out Sam. What he said was rude.,5,"Most of us are decent people. Probably Mia would be too shy to say anything, but she'd be glad someone did.",,
114,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Sam's being a git.,5,"Most of us probably feel bad for Deniz, and Alex said what we were all thinking. Maybe Oliver would be too polite to say it, but Mia and Aisha seem nice.",,
115,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That’s rude, innit?",Sam,yes,6,It's totally right to stick up for Deniz. Sam was being a right prat.,5,"Most of us probably think it's good, but maybe Oliver's too polite to say if he disagrees, and Mia might just want to bake and not get involved in drama. Aisha's probably with Alex though, she seems smart.",,
116,The Originals,UnionJack,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's totally right to stand up to someone being a dick. Deniz seems cool and Sam was being a straight-up bully.,4,"I reckon most of them probably felt a bit awkward and didn't want to cause a scene, but deep down they knew Sam was being out of order. They're probably relieved Alex said something.",,
117,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"It's the right thing to do, innit? Sam was being a prat.",5,"Most of us are decent, I reckon. Maybe Mia would be a bit shy about it though.",,
118,The Originals,Union Jack,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Deniz just wants to bake.,4,"Some of them might be a bit awkward about it, but mostly it's decent to include people.",,
119,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's messed up, innit?",Sam,yes,6,"It's the right thing to do, innit? Sam was being a right prat.",4,"Some of them are probably a bit awkward about it, but most of us are decent people. They probably wouldn't say anything to Alex's face though.",,
120,The Originals,🇬🇧,5,Britain,Deniz,Turkey,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally the right thing to do. Sam was being a right prat, and someone needed to say something. We shouldn't be excluding people just 'cause they're new or from somewhere else.",5,"Most of us probably think it's good. I mean, maybe a few might be a bit awkward about it 'cause Sam can be a bit touchy, but deep down they know Alex was right. We're not all gonna be as brave as Alex, but yeah, I reckon most of us think it was alright.",,
121,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Cos it's rude to exclude people. Like, Deniz seems nice and Sam's just being a dick.",5,Most of us aren't like Sam. We're probably a bit embarrassed by what he said. I bet Mia and Aisha feel the same way I do.,,
122,The Royals,👑,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's proper decent of Alex to stick up for Deniz. Like, being a good mate means calling out rubbish behaviour, innit?",4,"Some of the others might be a bit awkward about it, especially Sam. But deep down, most of us probably think it's the right thing to do, even if they don't say it out loud.",,
123,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Cos it was a mean thing to do to Deniz, like, just cos they're not from here? That's proper rubbish.",5,"Most of us are decent, I reckon. We wouldn't wanna be rude to someone just cos they're new. Maybe Sam would be a bit annoyed, but like, whatever. We're not all gonna be dicks.",,
124,The Brit Crew,Tea,5,Britain/UK,Deniz,Turkey,Sam,Tea,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do. Deniz just wants to bake, and it's rude to shut them out.",5,"Most of us are probably cool with it. Sam's being a bit of a knob, tbh. Alex is just saying what we're all thinking... hopefully.",,
125,The Originals,🇬🇧,5,Britain,Deniz,Turkey,Sam,yes,"That's proper harsh, innit?",Sam,yes,6,"It's always ok to be nice to someone, especially when they're just trying to join in. Sam was being a right prat.",4,"I reckon some of the group will be a bit awkward about it. Like, they won't wanna make Sam feel bad, even though he was being a knob. They're probably thinking Alex went a bit too far calling him out.",,
126,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"Cos it's the right thing to do, innit? Like, what Sam said was proper rude. Alex is just being decent.",5,"Most of them seem alright. Mia and Aisha probably agree with Alex. Oliver's probably too busy thinking about the recipe to care much. But I bet Sam's proper fuming, tbh.",,
127,The Union Jacks,🇬🇧,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally right to say that, like, Sam was being a dick. Deniz seems cool and just wants to bake.",4,"I think some of them will be happy, but some might think Alex is causing drama, y'know? Especially Sam.",,I think we should invite Deniz to cook with us.
128,The Boroughs,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's rough, man.",Sam,yes,6,"It's a decent thing to do, innit? Sam was being a right prat.",5,"Most of us aren't wankers like Sam, so they'd probably think it's alright.",,
