student_id,Item_Appraisals_PRE_Q1,Item_Appraisals_PRE_Q2,Item_Appraisals_PRE_Q3,Item_Appraisals_PRE_Q4,Item_Appraisals_PRE_Q5,Item_Appraisals_PRE_Q6,item_GHSQ_PRE_Q1,item_GHSQ_PRE_Q2,item_GHSQ_PRE_Q3,item_GHSQ_PRE_Q4,item_GHSQ_PRE_Q5,item_GHSQ_PRE_Q6,item_GHSQ_PRE_Q7,item_GHSQ_PRE_Q8,item_GHSQ_PRE_Q9,item_GHSQ_PRE_Q10,Item_Appraisals_POST_Q1,Item_Appraisals_POST_Q2,Item_Appraisals_POST_Q3,Item_Appraisals_POST_Q4,Item_Appraisals_POST_Q5,Item_Appraisals_POST_Q6,item_GHSQ_POST_Q1,item_GHSQ_POST_Q2,item_GHSQ_POST_Q3,item_GHSQ_POST_Q4,item_GHSQ_POST_Q5,item_GHSQ_POST_Q6,item_GHSQ_POST_Q7,item_GHSQ_POST_Q8,item_GHSQ_POST_Q9,item_GHSQ_POST_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,D,B,E,B,A,1,6,7,3,6,2,5,1,2,4,B,D,B,E,B,A,1,6,7,3,6,2,5,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,D,B,E,D,B,1,6,5,2,7,3,4,1,3,4,C,D,C,E,D,C,1,6,5,2,7,3,4,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,D,A,E,A,A,6,5,7,2,4,1,6,1,3,3,A,D,A,E,A,A,6,5,7,2,5,1,6,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,D,A,E,A,A,1,6,7,2,5,3,6,1,1,4,B,D,B,E,B,B,1,7,7,2,6,3,6,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A,D,A,E,A,A,2,5,6,1,7,3,6,1,4,3,B,D,B,E,B,B,1,6,6,1,7,2,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A,D,A,E,A,A,6,7,4,2,5,1,5,1,3,2,B,D,B,E,B,B,6,7,4,2,6,1,5,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,A,D,A,E,A,A,2,4,6,1,5,3,5,1,7,3,B,D,B,E,B,B,2,5,6,1,6,4,5,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,B,D,B,E,B,A,1,7,2,1,4,2,3,1,5,3,B,D,B,E,B,A,1,7,2,1,5,2,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,B,D,B,E,B,A,1,6,5,2,6,4,7,1,2,3,B,D,B,E,B,A,1,6,5,2,6,4,7,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,A,D,A,E,A,A,1,5,7,2,4,3,6,1,4,3,B,D,A,E,B,B,1,5,7,2,5,4,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,A,D,B,E,B,A,1,6,5,2,7,3,5,1,3,2,B,D,B,E,B,B,1,6,6,2,7,3,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,B,D,B,E,B,A,1,3,7,2,6,2,7,1,2,3,B,D,B,E,B,B,1,4,7,2,7,2,7,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,B,D,B,E,B,A,1,2,6,1,7,2,6,1,4,3,B,D,B,E,B,A,1,2,6,1,7,2,6,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,A,D,A,E,A,A,1,3,2,1,6,4,5,1,5,3,B,D,A,E,B,B,1,4,2,1,7,5,6,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,B,D,B,E,B,A,1,5,6,2,6,3,5,1,3,4,B,D,B,E,B,A,1,5,6,2,6,3,5,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,B,D,B,E,B,A,1,4,3,1,5,2,5,1,4,3,B,D,B,E,B,B,1,5,4,2,6,3,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,B,D,B,E,B,A,1,5,6,3,5,2,7,1,2,4,B,D,B,E,B,A,1,5,5,3,4,2,6,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,A,D,A,E,A,A,1,3,1,1,6,2,5,1,4,2,B,D,B,E,B,B,1,4,1,1,5,3,6,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,A,D,B,E,A,A,1,4,6,2,7,2,6,1,3,3,B,D,B,E,A,A,1,3,6,2,7,2,7,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,A,D,A,E,A,A,1,5,6,2,6,3,5,1,3,3,B,D,B,E,B,B,1,6,6,2,7,4,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,A,D,A,E,B,A,1,6,2,1,4,2,3,1,5,3,B,D,A,E,B,B,1,6,2,1,5,3,4,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,A,D,A,E,A,A,1,5,6,2,7,4,6,1,3,3,B,D,B,E,B,B,1,6,5,2,7,4,6,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,A,D,A,E,A,A,1,5,4,2,5,2,6,1,6,3,B,D,A,E,B,B,1,5,4,2,5,2,6,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,B,D,B,E,B,A,1,7,5,2,6,1,6,1,1,3,C,D,C,E,C,B,1,7,5,2,6,1,6,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,A,D,A,E,A,A,1,5,4,2,5,3,6,1,3,2,B,D,A,E,B,B,1,5,4,2,6,3,6,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,A,D,A,E,A,A,6,4,6,2,7,1,6,1,2,3,B,D,A,E,B,B,6,4,6,2,7,1,6,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,A,D,A,E,A,A,6,6,4,2,5,3,5,1,2,3,B,D,B,E,B,B,6,6,4,2,5,3,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,A,B,A,E,A,A,1,6,7,1,5,2,6,1,3,3,B,B,B,E,B,B,1,6,7,1,5,2,6,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,A,D,B,E,A,A,1,4,6,2,5,3,4,1,5,3,B,D,B,E,B,B,1,5,6,2,6,4,5,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,B,D,B,E,B,A,1,6,5,2,6,3,5,1,2,3,B,D,B,E,B,A,1,6,5,2,6,3,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,B,D,B,E,B,A,1,5,4,2,6,1,6,1,3,3,B,D,B,E,B,A,1,5,4,2,7,1,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,B,D,B,E,B,A,1,7,5,1,3,2,6,1,4,2,C,D,B,E,B,B,1,7,4,1,4,1,6,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,B,C,B,E,B,A,1,5,6,3,7,2,6,1,3,4,B,C,B,E,B,A,1,4,6,3,7,2,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,B,D,B,E,B,A,1,4,7,2,5,3,6,1,2,3,B,D,B,E,B,A,1,4,7,2,5,3,6,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,A,D,A,E,A,A,1,5,6,3,6,2,5,1,3,4,A,D,A,E,A,A,1,5,6,3,6,2,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,A,D,A,E,A,A,1,6,7,2,7,3,7,1,1,4,A,D,A,E,A,A,1,6,7,2,7,3,7,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,A,D,A,E,A,A,1,5,2,1,4,3,2,1,6,3,B,D,B,E,B,B,1,6,2,1,5,4,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,B,D,B,E,B,A,1,4,5,2,5,3,6,1,5,3,C,D,C,E,C,B,1,4,5,2,6,3,6,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,A,C,A,E,A,A,1,5,7,2,5,3,6,1,2,3,B,C,B,E,B,B,1,6,7,2,6,4,6,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,A,D,B,E,A,A,1,5,5,2,4,2,6,1,4,3,,,,,,,1,6,5,2,4,2,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,B,C,B,D,B,A,1,5,6,2,4,1,5,1,5,3,B,C,B,D,B,A,1,6,7,2,5,1,6,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,B,D,B,E,B,A,1,4,5,2,5,2,6,1,3,3,C,D,C,E,C,C,1,5,6,2,6,3,7,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,A,D,A,E,A,A,5,3,6,2,6,2,5,1,3,4,B,D,B,E,B,B,6,3,6,2,6,2,5,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,A,D,A,E,A,A,1,6,6,1,7,2,5,1,3,2,A,D,A,E,A,A,1,7,5,1,7,2,5,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,A,B,A,E,A,A,1,7,5,2,7,2,4,1,3,3,B,B,B,E,B,B,1,7,5,2,7,2,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,A,D,B,E,B,A,1,5,6,3,7,2,4,1,2,3,B,D,B,E,B,B,1,5,6,3,7,2,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,A,D,B,E,A,A,1,5,6,2,7,4,6,1,2,3,B,D,B,E,B,B,1,5,6,2,7,4,6,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,B,D,B,E,B,A,6,4,5,2,5,3,6,1,3,3,B,D,B,E,B,B,7,4,5,2,6,4,6,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,A,C,A,E,A,A,1,5,2,3,7,4,5,1,6,4,B,C,B,E,B,B,1,5,2,3,7,4,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,B,C,B,E,B,A,5,5,3,2,4,1,4,1,6,3,C,C,C,E,C,B,6,6,4,2,5,1,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,A,D,A,E,A,A,1,6,1,1,7,2,4,1,4,2,B,D,B,E,B,B,1,7,3,1,7,2,5,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,B,D,B,E,B,A,6,5,3,2,5,2,5,1,4,3,C,D,B,E,B,B,7,6,4,1,6,3,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,A,C,B,E,A,A,1,6,4,2,3,1,5,1,3,2,B,C,B,E,B,B,1,6,4,2,4,1,5,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,A,D,B,E,A,A,1,5,6,3,7,2,7,1,1,4,A,D,B,E,A,A,1,5,6,3,7,2,7,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,A,D,A,E,A,A,1,2,1,1,6,3,5,1,5,3,B,D,B,E,B,B,1,3,1,1,7,4,6,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,A,D,A,E,A,A,1,6,7,2,7,4,7,1,1,3,A,D,A,E,A,A,1,6,7,2,7,4,7,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,A,D,B,E,B,A,1,6,7,2,5,3,6,1,3,2,B,D,B,E,B,B,1,7,7,2,5,3,6,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,A,D,B,E,A,A,1,5,6,2,5,3,5,1,3,4,B,D,B,E,B,B,1,6,6,2,6,3,6,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,A,D,A,E,A,A,1,6,5,2,7,4,6,1,2,4,B,D,B,E,B,B,1,6,5,2,7,4,6,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,A,D,B,E,B,A,1,6,5,2,7,3,6,1,2,3,B,D,B,E,B,B,1,6,5,2,7,3,6,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,A,D,A,E,A,A,1,6,2,1,7,3,4,1,3,2,A,D,A,E,A,A,1,6,2,1,7,3,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,A,C,A,E,A,A,1,4,1,1,6,2,1,1,6,3,B,C,A,E,B,B,1,4,1,1,6,2,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,A,D,A,E,A,A,1,3,1,1,4,3,4,1,6,2,B,D,B,E,B,B,1,4,1,1,5,4,5,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,A,D,B,E,A,A,1,5,3,1,6,4,5,1,2,4,B,D,B,E,B,B,1,6,3,1,7,4,5,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,B,D,B,E,B,A,1,3,5,2,6,2,4,1,5,3,B,D,B,E,B,A,1,4,6,2,7,2,5,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,A,D,A,E,A,A,1,5,6,2,3,1,4,1,5,3,B,D,B,E,B,B,1,6,5,2,4,1,5,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,A,D,A,E,A,A,1,5,4,2,3,2,3,1,5,2,A,D,A,E,A,A,1,5,4,2,4,2,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,A,D,B,E,B,A,1,5,3,1,4,2,4,1,5,3,B,D,B,E,B,B,1,6,4,1,5,2,5,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,A,B,A,E,A,A,1,6,4,2,7,2,3,1,3,2,B,B,A,E,B,B,1,6,4,2,7,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,A,C,A,E,A,A,1,5,3,2,4,3,5,1,4,3,B,C,B,E,B,B,1,5,4,2,5,4,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,A,D,A,E,B,A,1,5,4,2,6,3,4,1,5,3,B,D,A,E,B,B,1,6,5,2,7,4,4,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,B,D,C,E,D,B,1,5,3,2,4,3,5,1,6,3,C,D,C,E,D,C,1,5,3,2,5,3,6,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,B,D,B,E,B,A,1,5,6,2,4,3,5,1,2,3,C,D,B,E,C,B,1,6,7,2,5,3,6,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,A,D,A,E,A,A,6,5,4,2,5,3,4,1,5,3,B,D,B,E,B,B,7,6,5,2,6,4,4,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,A,D,A,E,A,A,1,3,1,1,5,2,5,1,6,3,A,D,A,E,A,A,1,3,1,1,5,2,5,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,A,B,A,E,A,A,1,5,5,2,4,3,6,1,4,3,B,C,B,E,B,B,1,5,5,2,5,3,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,B,D,B,E,B,A,1,6,7,3,5,4,6,1,2,3,B,D,B,E,B,B,1,6,7,3,6,4,6,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,A,D,A,E,A,A,1,6,5,2,4,3,4,1,6,3,B,D,A,E,B,B,1,6,5,2,5,3,4,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,B,D,C,E,B,A,1,6,4,1,6,3,3,1,3,2,B,D,C,E,B,B,1,7,4,1,5,3,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,A,D,A,E,A,A,1,5,3,2,4,2,4,1,5,4,A,D,A,E,A,A,1,5,3,2,4,2,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,A,D,A,E,A,A,1,2,1,1,2,3,3,1,7,1,B,D,B,E,B,B,1,3,1,2,3,4,4,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,B,D,B,E,B,A,1,5,7,2,6,4,6,1,2,3,B,D,B,E,B,A,1,6,7,2,7,4,6,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,A,D,A,E,A,A,1,3,2,1,7,4,3,1,5,3,B,D,B,E,B,B,1,3,2,1,7,4,3,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,A,B,A,E,A,A,1,5,2,1,5,4,3,1,6,2,B,B,B,E,B,B,1,5,2,1,5,4,3,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,A,D,B,E,A,A,2,5,1,2,4,3,2,1,6,3,A,D,B,E,A,A,2,5,1,2,4,3,2,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,A,D,A,E,A,A,1,6,5,2,5,1,4,1,3,3,B,D,B,E,B,B,1,7,6,2,6,1,5,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,A,D,B,E,A,A,1,5,7,3,4,2,6,1,3,4,B,D,B,E,B,B,1,5,7,3,4,3,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,A,D,A,E,A,A,1,5,1,2,6,3,5,1,4,3,B,D,B,E,B,B,1,6,1,2,7,3,6,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,A,D,A,E,A,A,1,4,6,2,7,3,6,1,4,3,B,D,B,E,B,B,1,5,6,2,6,4,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,A,D,A,E,A,A,1,5,2,1,6,2,4,1,5,3,B,D,B,E,B,B,1,6,2,1,7,2,5,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
